arquivo,ip_origem,data_hora,porta,evento,ip_cod,evento_cod,timestamp,anomalia,status
apache.log,192.0.2.45,23/Oct/2025:09:00:01,Desconhecido,GET,12,2,-9223372036854775808,1,Normal
apache.log,198.51.100.14,23/Oct/2025:09:00:03,Desconhecido,GET,21,2,-9223372036854775808,1,Normal
apache.log,198.51.100.14,23/Oct/2025:09:00:05,Desconhecido,POST,21,3,-9223372036854775808,1,Normal
apache.log,203.0.113.9,23/Oct/2025:09:00:08,Desconhecido,GET,32,2,-9223372036854775808,1,Normal
apache.log,192.0.2.120,23/Oct/2025:09:00:12,Desconhecido,GET,7,2,-9223372036854775808,1,Normal
apache.log,203.0.113.55,23/Oct/2025:09:00:15,Desconhecido,GET,27,2,-9223372036854775808,1,Normal
apache.log,198.51.100.200,23/Oct/2025:09:00:18,Desconhecido,GET,23,2,-9223372036854775808,1,Normal
apache.log,192.0.2.45,23/Oct/2025:09:00:20,Desconhecido,GET,12,2,-9223372036854775808,1,Normal
apache.log,198.51.100.14,23/Oct/2025:09:00:22,Desconhecido,GET,21,2,-9223372036854775808,1,Normal
apache.log,203.0.113.70,23/Oct/2025:09:00:25,Desconhecido,GET,30,2,-9223372036854775808,1,Normal
apache.log,192.0.2.78,23/Oct/2025:09:00:28,Desconhecido,GET,14,2,-9223372036854775808,1,Normal
apache.log,198.51.100.14,23/Oct/2025:09:00:30,Desconhecido,POST,21,3,-9223372036854775808,1,Normal
apache.log,192.0.2.45,23/Oct/2025:09:00:33,Desconhecido,GET,12,2,-9223372036854775808,1,Normal
apache.log,203.0.113.9,23/Oct/2025:09:00:36,Desconhecido,GET,32,2,-9223372036854775808,1,Normal
apache.log,198.51.100.14,23/Oct/2025:09:00:38,Desconhecido,GET,21,2,-9223372036854775808,1,Normal
apache.log,192.0.2.101,23/Oct/2025:09:00:40,Desconhecido,GET,6,2,-9223372036854775808,-1,Suspeito
apache.log,203.0.113.55,23/Oct/2025:09:00:42,Desconhecido,GET,27,2,-9223372036854775808,1,Normal
apache.log,198.51.100.14,23/Oct/2025:09:00:44,Desconhecido,POST,21,3,-9223372036854775808,1,Normal
apache.log,192.0.2.45,23/Oct/2025:09:00:47,Desconhecido,GET,12,2,-9223372036854775808,1,Normal
apache.log,203.0.113.9,23/Oct/2025:09:00:50,Desconhecido,GET,32,2,-9223372036854775808,1,Normal
apache.log,198.51.100.99,23/Oct/2025:09:00:52,Desconhecido,GET,24,2,-9223372036854775808,1,Normal
