arquivo,ip_origem,data_hora,porta,evento
apache.log,192.0.2.45,23/Oct/2025:09:00:01,,GET /index.html
apache.log,198.51.100.14,23/Oct/2025:09:00:03,,GET /login
apache.log,198.51.100.14,23/Oct/2025:09:00:05,,POST /login
apache.log,198.51.100.14,23/Oct/2025:09:00:06,,POST /login
apache.log,198.51.100.14,23/Oct/2025:09:00:07,,POST /login
apache.log,203.0.113.200,23/Oct/2025:09:00:08,,GET /admin
apache.log,203.0.113.200,23/Oct/2025:09:00:09,,GET /admin/config
apache.log,203.0.113.200,23/Oct/2025:09:00:10,,GET /admin/panel
apache.log,198.51.100.77,23/Oct/2025:09:00:12,,GET /index.html
apache.log,198.51.100.77,23/Oct/2025:09:00:13,,GET /about
apache.log,192.0.2.45,23/Oct/2025:09:00:01,,GET /index.php
apache.log,198.51.100.14,23/Oct/2025:09:00:03,,GET /wp-login.php
apache.log,198.51.100.14,23/Oct/2025:09:00:05,,POST /wp-login.php
apache.log,203.0.113.9,23/Oct/2025:09:00:08,,GET /administrator/index.php
apache.log,192.0.2.120,23/Oct/2025:09:00:12,,GET /product.php?id=105
apache.log,203.0.113.55,23/Oct/2025:09:00:15,,GET /search.php?q=%27%20OR%20%271%27=%271
apache.log,198.51.100.200,23/Oct/2025:09:00:18,,GET /admin/login.php
apache.log,192.0.2.45,23/Oct/2025:09:00:20,,GET /.env
apache.log,198.51.100.14,23/Oct/2025:09:00:22,,GET /xmlrpc.php
apache.log,203.0.113.70,23/Oct/2025:09:00:25,,GET /robots.txt
apache.log,192.0.2.78,23/Oct/2025:09:00:28,,GET /index.php?page=../../etc/passwd
apache.log,198.51.100.14,23/Oct/2025:09:00:30,,POST /wp-login.php
apache.log,192.0.2.45,23/Oct/2025:09:00:33,,GET /contact
apache.log,203.0.113.9,23/Oct/2025:09:00:36,,GET /images/admin.png
apache.log,198.51.100.14,23/Oct/2025:09:00:38,,GET /xmlrpc.php
apache.log,192.0.2.101,23/Oct/2025:09:00:40,,GET /api/v1/users
