arquivo,conteudo
apache.log,"192.0.2.45 - - [23/Oct/2025:09:00:01] ""GET /index.html HTTP/1.1"" 200 5320"
apache.log,"198.51.100.14 - - [23/Oct/2025:09:00:03] ""GET /login HTTP/1.1"" 200 1200"
apache.log,"198.51.100.14 - - [23/Oct/2025:09:00:05] ""POST /login HTTP/1.1"" 401 340"
apache.log,"198.51.100.14 - - [23/Oct/2025:09:00:06] ""POST /login HTTP/1.1"" 401 340"
apache.log,"198.51.100.14 - - [23/Oct/2025:09:00:07] ""POST /login HTTP/1.1"" 401 340"
apache.log,"203.0.113.200 - - [23/Oct/2025:09:00:08] ""GET /admin HTTP/1.1"" 403 820"
apache.log,"203.0.113.200 - - [23/Oct/2025:09:00:09] ""GET /admin/config HTTP/1.1"" 403 820"
apache.log,"203.0.113.200 - - [23/Oct/2025:09:00:10] ""GET /admin/panel HTTP/1.1"" 403 820"
apache.log,"198.51.100.77 - - [23/Oct/2025:09:00:12] ""GET /index.html HTTP/1.1"" 200 5000"
apache.log,"198.51.100.77 - - [23/Oct/2025:09:00:13] ""GET /about HTTP/1.1"" 200 2100"
apache.log,"192.0.2.45 - - [23/Oct/2025:09:00:01 -0300] ""GET /index.php HTTP/1.1"" 200 4532 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64)"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:00:03 -0300] ""GET /wp-login.php HTTP/1.1"" 200 5123 ""-"" ""curl/7.79.1"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:00:05 -0300] ""POST /wp-login.php HTTP/1.1"" 200 234 ""-"" ""curl/7.79.1"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:00:08 -0300] ""GET /administrator/index.php HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
apache.log,"192.0.2.120 - - [23/Oct/2025:09:00:12 -0300] ""GET /product.php?id=105 HTTP/1.1"" 200 10452 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.55 - - [23/Oct/2025:09:00:15 -0300] ""GET /search.php?q=%27%20OR%20%271%27=%271 HTTP/1.1"" 200 6734 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"198.51.100.200 - - [23/Oct/2025:09:00:18 -0300] ""GET /admin/login.php HTTP/1.1"" 401 312 ""-"" ""Mozilla/5.0"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:00:20 -0300] ""GET /.env HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:00:22 -0300] ""GET /xmlrpc.php HTTP/1.1"" 200 1532 ""-"" ""python-requests/2.28.1"""
apache.log,"203.0.113.70 - - [23/Oct/2025:09:00:25 -0300] ""GET /robots.txt HTTP/1.1"" 200 68 ""-"" ""Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"""
apache.log,"192.0.2.78 - - [23/Oct/2025:09:00:28 -0300] ""GET /index.php?page=../../etc/passwd HTTP/1.1"" 400 421 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:00:30 -0300] ""POST /wp-login.php HTTP/1.1"" 403 192 ""-"" ""curl/7.79.1"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:00:33 -0300] ""GET /contact HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:00:36 -0300] ""GET /images/admin.png HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:00:38 -0300] ""GET /xmlrpc.php HTTP/1.1"" 200 1532 ""-"" ""python-requests/2.28.1"""
apache.log,"192.0.2.101 - - [23/Oct/2025:09:00:40 -0300] ""GET /api/v1/users HTTP/1.1"" 200 2048 ""-"" ""curl/7.68.0"""
apache.log,"203.0.113.55 - - [23/Oct/2025:09:00:42 -0300] ""GET /search.php?q=%27%20OR%20%271%27=%271 HTTP/1.1"" 200 6741 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:00:44 -0300] ""POST /wp-login.php HTTP/1.1"" 200 234 ""-"" ""curl/7.79.1"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:00:47 -0300] ""GET /index.php HTTP/1.1"" 200 4532 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:00:50 -0300] ""GET /admin/index.php HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.99 - - [23/Oct/2025:09:00:52 -0300] ""GET /.git/config HTTP/1.1"" 200 512 ""-"" ""Mozilla/5.0"""
apache.log,"192.0.2.120 - - [23/Oct/2025:09:00:55 -0300] ""GET /search?q=test HTTP/1.1"" 200 678 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:00:57 -0300] ""GET /wp-login.php HTTP/1.1"" 200 5123 ""-"" ""curl/7.79.1"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:01:00 -0300] ""GET /admin/login.php HTTP/1.1"" 403 312 ""-"" ""Mozilla/5.0"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:01:03 -0300] ""GET /contact HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:01:06 -0300] ""GET /xmlrpc.php HTTP/1.1"" 200 1532 ""-"" ""python-requests/2.28.1"""
apache.log,"203.0.113.55 - - [23/Oct/2025:09:01:09 -0300] ""GET /index.php?page=../../etc/passwd HTTP/1.1"" 400 421 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"192.0.2.78 - - [23/Oct/2025:09:01:12 -0300] ""GET /images/admin.png HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.150 - - [23/Oct/2025:09:01:15 -0300] ""GET /download.php?file=../../../../etc/passwd HTTP/1.1"" 400 421 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:01:18 -0300] ""GET /index.php HTTP/1.1"" 200 4532 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:01:21 -0300] ""GET /robots.txt HTTP/1.1"" 200 68 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:01:23 -0300] ""POST /wp-login.php HTTP/1.1"" 200 234 ""-"" ""curl/7.79.1"""
apache.log,"192.0.2.120 - - [23/Oct/2025:09:01:25 -0300] ""GET /search.php?q=test%20injection HTTP/1.1"" 200 680 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.65 - - [23/Oct/2025:09:01:28 -0300] ""GET /cgi-bin/test.cgi HTTP/1.1"" 200 456 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:01:31 -0300] ""GET /xmlrpc.php HTTP/1.1"" 200 1532 ""-"" ""python-requests/2.28.1"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:01:34 -0300] ""GET /.env HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.55 - - [23/Oct/2025:09:01:36 -0300] ""GET /product.php?id=9999' HTTP/1.1"" 200 10452 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"198.51.100.101 - - [23/Oct/2025:09:01:39 -0300] ""GET /admin.php?cmd=whoami HTTP/1.1"" 500 632 ""-"" ""Mozilla/5.0"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:01:42 -0300] ""GET /index.php HTTP/1.1"" 200 4532 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:01:45 -0300] ""GET /images/logo.png HTTP/1.1"" 200 2048 ""-"" ""Mozilla/5.0"""
